date;user;date_scraped;company_name;series;raised_funds;investors;date
14/05/2019 08:01;techcrunch;;;;;;14/05/2019 08:01
14/05/2019 05:45;techcrunch;2019-05-14T05:43:59;Uber;ipo;;{'SoftBank Group', 'Vision Fund'};14/05/2019 05:45
14/05/2019 04:04;techcrunch;;;;;;14/05/2019 04:04
14/05/2019 04:02;techcrunch;;;;;;14/05/2019 04:02
14/05/2019 02:00;techcrunch;;;;;;14/05/2019 02:00
14/05/2019 00:59;techcrunch;;;;;;14/05/2019 00:59
14/05/2019 00:02;techcrunch;;;;;;14/05/2019 00:02
12/05/2019 23:29;techcrunch;;;;;;12/05/2019 23:29
12/05/2019 23:01;techcrunch;2019-05-12T23:00:57;Ethereal;series o;;{'ConsenSys'};12/05/2019 23:01
12/05/2019 22:44;techcrunch;2019-05-12T22:43:14;NOAA;;;;12/05/2019 22:44
12/05/2019 21:39;techcrunch;;;;;;12/05/2019 21:39
12/05/2019 20:48;techcrunch;2019-05-12T20:46:44;THC;;;;12/05/2019 20:48
12/05/2019 17:36;techcrunch;;;;;;12/05/2019 17:36
12/05/2019 12:02;techcrunch;2019-05-12T12:00:19;Google;;;;12/05/2019 12:02
12/05/2019 10:27;techcrunch;;;;;;12/05/2019 10:27
12/05/2019 02:26;techcrunch;;;;;;12/05/2019 02:26
10/05/2019 22:03;techcrunch;2019-05-10T22:02:33;Uber;ipo;;;10/05/2019 22:03
10/05/2019 22:00;techcrunch;2019-05-05T20:09:54;Konexio;;;;10/05/2019 22:00
10/05/2019 21:43;techcrunch;2019-05-10T21:42:26;Virgin Galactic;;;;10/05/2019 21:43
10/05/2019 20:53;techcrunch;2019-05-10T20:52:22;Musk;public;;{'District Court', 'Vernon Unsworth'};10/05/2019 20:53
10/05/2019 20:31;techcrunch;;;;;;10/05/2019 20:31
10/05/2019 20:15;techcrunch;2019-05-10T20:14:46;Uber;public;;{'Uber', 'the New York Stock Exchange'};10/05/2019 20:15
10/05/2019 20:07;techcrunch;2019-05-10T20:06:06;Tinder Lite;;;;10/05/2019 20:07
10/05/2019 19:02;techcrunch;2019-05-10T18:06:06;Jeff Bezos;;;;10/05/2019 19:02
10/05/2019 18:54;techcrunch;2019-05-10T18:52:39;Uber;public;;{'the New York Stock Exchange'};10/05/2019 18:54
10/05/2019 17:55;techcrunch;;;;;;10/05/2019 17:55
10/05/2019 17:51;techcrunch;2019-05-10T17:49:37;Bobbie;;;;10/05/2019 17:51
10/05/2019 17:25;techcrunch;2019-05-10T17:23:47;Apple;public;8100000000.0 $;{'the New York Stock Exchange'};10/05/2019 17:25
10/05/2019 17:10;techcrunch;2019-05-10T16:05:55;HAI;series o;;;10/05/2019 17:10
10/05/2019 16:47;techcrunch;2019-05-10T16:45:50;Uber;public;;;10/05/2019 16:47
