date;user;date_scraped;company_name;series;raised_funds;investors;date
30/04/2019 17:05;techcrunch;2019-04-30T16:05:20;NYC;;;;30/04/2019 17:05
30/04/2019 17:04;techcrunch;2019-04-30T17:02:51;Docker;;;;30/04/2019 17:04
30/04/2019 17:02;techcrunch;2019-04-30T17:00:17;Docker;;;;30/04/2019 17:02
30/04/2019 17:01;techcrunch;2019-04-30T17:00:04;Startup Alley;series a;;{'CrunchMatch', 'Startup Battlefield Wild Card'};30/04/2019 17:01
30/04/2019 16:58;techcrunch;;;;;;30/04/2019 16:58
30/04/2019 16:53;techcrunch;;;;;;30/04/2019 16:53
30/04/2019 16:50;techcrunch;2019-04-30T16:49:00;Samsung;public;;{'WeWork', 'Extra Crunch', 'the We Company'};30/04/2019 16:50
30/04/2019 16:49;techcrunch;;;;;;30/04/2019 16:49
30/04/2019 16:32;techcrunch;2019-04-30T16:21:51;Hancock;public;;;30/04/2019 16:32
30/04/2019 16:16;techcrunch;2019-04-27T17:06:54;UC Berkeley;;;;30/04/2019 16:16
30/04/2019 15:31;techcrunch;2019-04-30T15:30:26;Primary Venture Partners;seed;3500000.0 $;{'Nat Turner', 'Flatiron Health', 'Lerer Hippeau Ventures', 'Neil Blumenthal', 'Dave Gilboa', 'Zach Weinberg', 'Brand Foundry Ventures', 'Warby Parker'};30/04/2019 15:31
30/04/2019 15:22;techcrunch;2019-04-30T15:20:05;Energizer;;;;30/04/2019 15:22
30/04/2019 15:03;techcrunch;2019-04-30T15:02:28;Creative Commons;public;;{'Nonprofit organization Creative Commons'};30/04/2019 15:03
30/04/2019 15:02;techcrunch;2019-04-30T15:00:49;Kesserwani;seed;2500000.0 $;{'Afore Capital'};30/04/2019 15:02
30/04/2019 14:55;techcrunch;2019-04-30T14:53:51;Fabletics;;;;30/04/2019 14:55
30/04/2019 14:09;techcrunch;2019-04-30T14:08:05;YouTube;series s;;{'MLB Network', 'Bloomberg'};30/04/2019 14:09
