date;user;parsed_data
14/05/2019 18:53;techcrunch;{1: {}, 2: {'investors': ['Beat Saber', 'Fruit Ninja', 'EDM']}, 3: {'investors': ['Beat Games']}, 4: {'investors': ['Saber']}, 5: {}, 6: {'investors': ['Beat Games', 'Oculus Home', 'PS VR'], 'funds': ['$20 ', '$30 ']}, 7: {}, 8: {}, 9: {}, 10: {'investors': ['Saber']}, 11: {}, 0: {'date': '2019-05-14T18:51:58', 'title': 'VR’s most popular game is getting more features (and more expensive) | TechCrunch'}}
14/05/2019 18:50;techcrunch;
14/05/2019 18:31;techcrunch;
14/05/2019 18:25;techcrunch;{1: {'investors': ['TomboyX’s', 'TomboyX', 'TomboyX'], 'funds': ['$18 million'], 'series': ['Series B']}, 2: {}, 3: {'investors': ['Fran Dunaway', 'Robert Graham-style']}, 4: {'funds': ['$20']}, 5: {'funds': ['$4.3 million', '$25 million'], 'series': ['Series A']}, 6: {'investors': ['Fran Dunaway', 'Naomi Gonzalez']}, 7: {}, 8: {'investors': ['Pauline Brown', 'TAU Investment Management', 'TomboyX'], 'series': ['Series A']}, 0: {'date': '2019-05-14T18:24:29', 'title': 'D2C underwear brand TomboyX raises $18 million from the Craftory | TechCrunch'}}
14/05/2019 18:05;techcrunch;{1: {'investors': ['Yext', 'the New York Stock Exchange', 'Howard Lerman']}, 2: {'investors': ['Yext', 'Lerman', 'Yext', 'Chelsea'], 'funds': ['$2.3 billion']}, 3: {'investors': ['Lerman']}, 4: {'investors': ['Lerman', 'Yext'], 'series': ['public']}, 5: {'investors': ['Lerman', 'Yext', 'Big Mac', 'McDonald', 'Burger King', 'Burger King']}, 6: {'investors': ['Yext', 'Lerman']}, 7: {}, 8: {'investors': ['Yext']}, 9: {'investors': ['Howard Lerman', 'Yext']}, 10: {'series': ['public']}, 11: {}, 0: {'date': '2019-05-14T17:05:01', 'title': 'CEO Howard Lerman on building a public company and the future of Yext | TechCrunch'}}
14/05/2019 17:52;techcrunch;{1: {'investors': ['NASA’s', 'NASA', 'Artemis', 'Apollo', 'Moon']}, 2: {'investors': ['NASA', 'Jim Bridenstine']}, 3: {'investors': ['Apollo', 'Moon']}, 4: {'investors': ['NASA', '@NASA']}, 5: {}, 6: {'investors': ['Apollo', 'Artemis', 'Moon', 'Apollo', 'Artemis', 'Moon', 'Bridenstine']}, 7: {'investors': ['NASA', 'Artemis', 'Moon']}, 8: {'investors': ['NASA']}, 9: {}, 10: {'investors': ['Moon', 'Artemis', 'Moon']}, 11: {'investors': ['Artemis', 'NASA', 'Moon', 'Lunar Orbital Platform-Gateway']}, 12: {'investors': ['NASA'], 'funds': ['$1.6 billion']}, 13: {'investors': ['Apollo']}, 14: {'investors': ['Bridenstine']}, 15: {'investors': ['Moon', 'Q&A']}, 16: {'investors': ['Artemis', 'Moon']}, 17: {}, 18: {'investors': ['NASA', 'Moon']}, 0: {'date': '2019-05-14T17:51:26', 'title': 'NASA gives its new Moon mission a name: Artemis | TechCrunch'}}
14/05/2019 17:43;techcrunch;{1: {'investors': ['SpaceX', 'Elon Musk'], 'series': ['public']}, 2: {'investors': ['Musk', 'Alex Spiro', 'Quinn Emanuel', 'District Court', 'Musk'], 'series': ['public']}, 3: {'investors': ['Musk']}, 4: {'investors': ['Unsworth', 'Spiro', 'Unsworth', 'Unsworth', 'Musk', 'Unsworth', 'Musk', 'Unsworth'], 'series': ['public']}, 5: {'investors': ['Musk', 'Unsworth', 'Musk', 'Musk', 'Spiro']}, 6: {'investors': ['Stephen V. Wilson']}, 7: {'investors': ['Musk', 'Twitter', 'Wilson', 'Musk', 'BuzzFeed', 'Ryan Mac']}, 8: {'investors': ['Musk', 'Unsworth']}, 9: {'investors': ['Unsworth', 'Musk', 'Musk']}, 0: {'date': '2019-05-14T17:43:16', 'title': 'Musk’s new lawyer fights ‘pedo guy’ defamation lawsuit claims, questions motive | TechCrunch'}}
14/05/2019 17:39;techcrunch;
14/05/2019 17:36;techcrunch;{1: {'investors': ['Jacinda Ardern', 'The New York Times', 'Group of 7']}, 2: {'investors': ['The Christchurch Call', 'Facebook']}, 3: {'investors': ['the French Economy Ministry', 'the Christchurch Call']}, 4: {'investors': ['Digital', 'Cédric O']}, 5: {}, 6: {'investors': ['Group of 7', 'Group of 7']}, 7: {}, 8: {'investors': ['the French Economy Ministry', 'Microsoft', 'Facebook, Twitter, Snap', 'Mozilla', 'Google', 'the Wikimedia Foundation', 'the Web Foundation']}, 9: {'investors': ['The New York Times', 'Facebook, Google', 'Microsoft']}, 0: {'date': '2019-05-14T17:36:25', 'title': 'World leaders ask tech giants to tackle toxic content with Christchurch Call | TechCrunch'}}
14/05/2019 17:19;techcrunch;
14/05/2019 17:05;techcrunch;{1: {'investors': ['Phil Weiner']}, 2: {}, 3: {}, 4: {}, 5: {}, 6: {}, 7: {}, 8: {'investors': ['Yvonne Leow']}, 9: {'investors': ['Phil Weiner', 'Motown Records', 'The Washington Post', 'The NY Daily News']}, 10: {'investors': ['Hired.com']}, 11: {}, 0: {'date': '2019-05-14T16:05:54', 'title': 'Verified Expert Brand Designer: Phil Weiner | TechCrunch'}}
14/05/2019 17:04;techcrunch;
14/05/2019 17:04;techcrunch;{1: {'name_candidates': 'TechCrunch Sessions is heading to San Jose', 'investors': ['TechCrunch Sessions']}, 2: {}, 3: {'investors': ['Waymo', 'Dmitri Dolgov', 'Waymo', 'Summer Craze Fowler', 'Nuro', 'Dave Ferguson', 'Karl Iagnemma', 'Seleta Reynolds', 'the Los Angeles Department of Transportation', 'Ford Motor', 'Ken Washington']}, 4: {}, 5: {}, 6: {}, 7: {'investors': ['Avery Ash', 'INRIX', 'Seleta Reynolds', 'Los Angeles Department of Transportation']}, 8: {'investors': ['INRIX', 'Autonomous Mobility', 'INRIX', 'Seleta Reynolds', 'the Los Angeles Department of Transportation']}, 9: {'investors': ['Michael Granoff', 'Maniv Mobility', 'Ted Serbinski', 'Sarah Smith', 'Bain Capital']}, 10: {}, 11: {'investors': ['Waymo', 'Dmitri Dolgov']}, 12: {'investors': ['Alphabet', 'AV']}, 13: {'investors': ['Daniel Barel', 'Softwheel Technology']}, 14: {'investors': ['Softwheel Technology']}, 15: {'investors': ['The Last Mile', 'Stonly Baptiste', 'Regina Clewlow']}, 16: {'investors': ['Regina Clewlow', 'Stonly Baptiste']}, 17: {'investors': ['Nils Wollny']}, 18: {'investors': ['Audi', 'Audi', 'Ford', 'Mercedes', 'Chrysler', 'Pacifica']}, 19: {'investors': ['Dave Ferguson', 'Nuro']}, 20: {'investors': ['Nuro', 'Nuro', 'Nuro', 'Dave Ferguson']}, 21: {}, 22: {'investors': ['Jay Giraud', 'Damon Motorcycles']}, 23: {'investors': ['Damon', 'Jay Giraud']}, 24: {'investors': ['Oliver Cameron', 'Clark Haynes', 'Uber']}, 25: {'investors': ['Oliver Cameron', 'Clark Haynes']}, 26: {'investors': ['Intel', 'Amnon Shashua', 'Mobileye'], 'funds': ['$15 billion']}, 27: {'investors': ['Intel', 'Mobileye', 'Amnon Shashua', 'ADAS', 'AV']}, 28: {'investors': ['Scooter Wars', 'Katie DeWitt', 'Scoot', 'Tony Ho', 'Ryan Rzepecki', 'JUMP Bikes']}, 29: {}, 30: {'investors': ['Ken Washington', 'Ford Motor Company']}, 31: {'investors': ['Ford', 'CTO', 'Research and Advanced Engineering']}, 32: {}, 33: {}, 34: {'investors': ['Erik Buell']}, 35: {'investors': ['Erik Buell', 'Buell', 'EV', 'Fuell', 'Fluid']}, 36: {'investors': ['Autonomous Robotaxis', 'Karl Iagnemma', 'Aptiv', 'Alisyn Malek', 'Lia Theodosiou-Pisanelli', 'Aurora']}, 37: {}, 38: {}, 39: {'investors': ['Stefan Seltz-Axmacher', 'Starsky Robotics']}, 40: {}, 41: {}, 42: {'investors': ['Uber', 'Mark Moore', 'UberElevate']}, 43: {'investors': ['Mark Moore', 'NASA', 'Uber']}, 44: {'funds': ['$100 ', '$195']}, 45: {'investors': ['Startup Demo Packages']}, 46: {}, 0: {'date': '2019-05-14T17:00:56', 'title': 'TC Sessions: Mobility announces its July 10 agenda | TechCrunch'}}
14/05/2019 17:01;techcrunch;{1: {'investors': ['Twitter', 'Twitter Developer Labs', 'GET /Users', 'API']}, 2: {'investors': ['Labs', 'TwitterDev'], 'funds': ['$339 ', '$2']}, 3: {}, 4: {'investors': ['Ian Cairns', 'APIS', 'the Twitter Developer Labs']}, 5: {'investors': ['API']}, 6: {}, 7: {'investors': ['Fabric', 'Google', 'Twitter']}, 8: {'investors': ['Developer Labs', 'Labs']}, 9: {'investors': ['Labs']}, 0: {'date': '2019-05-14T16:59:43', 'title': 'Twitter’s new Developer Labs offers beta access to rebuilt APIs | TechCrunch'}}
14/05/2019 17:00;techcrunch;
14/05/2019 16:36;techcrunch;{1: {'investors': ['Google', 'Google']}, 2: {'investors': ['Google', 'Google']}, 3: {'investors': ['Tatsuhito Chiku', 'Information Technology Section', 'Asahi Group Holdings', 'Google Cloud Platform', 'BigQuery']}, 4: {'investors': ['Azure', 'AWS']}, 5: {'investors': ['Google', 'Google'], 'funds': ['$47 billion']}, 0: {'date': '2019-05-14T16:36:01', 'title': 'Google Cloud launches its second region in Japan | TechCrunch'}}
14/05/2019 16:35;techcrunch;
14/05/2019 16:33;techcrunch;
14/05/2019 16:24;techcrunch;{1: {'investors': ['Hulu', 'Disney', 'Hulu', 'Comcast']}, 2: {'investors': ['Comcast', 'Disney', 'Comcast', 'Fox', 'Hulu', 'AT&T'], 'funds': ['$1.43 billion']}, 3: {'investors': ['Disney', 'Hulu', 'Hotstar', 'Comcast', 'NBCUniversal']}, 4: {'investors': ['Disney', 'Hulu', 'Comcast'], 'funds': ['$27.5 billion']}, 5: {'investors': ['NBCUniversal', 'Hulu', 'NBCUniversal', 'NBCUniversal', 'NBCUniversal', 'Hulu', 'Hulu']}, 6: {}, 7: {}, 0: {'date': '2019-05-14T13:39:16', 'title': 'Disney is taking operational control of Hulu, with Comcast selling its stake in 2024 | TechCrunch'}}
14/05/2019 16:24;techcrunch;{1: {'investors': ['TechCrunch']}, 2: {'investors': ['Burger', 'WhatsApp']}, 3: {'investors': ['Burger King', 'Impossible Foods']}, 4: {'investors': ['Impossible Foods', 'Burger King', 'Impossible Foods'], 'funds': ['$300 million']}, 5: {'investors': ['Beyond Meat'], 'funds': ['$750 million'], 'series': ['public']}, 6: {'investors': ['WhatsApp']}, 7: {'investors': ['WhatsApp']}, 8: {'investors': ['Uber']}, 9: {'investors': ['Uber'], 'funds': ['$37.25 ', '$62.2 billion'], 'series': ['IPO']}, 10: {}, 11: {'investors': ['Supreme Court', 'Apple', 'App Store']}, 12: {'investors': ['iPhone', 'Apple', 'App Store', 'Apple']}, 13: {'investors': ['Amazon', 'Alexa Guard']}, 14: {'investors': ['Alexa', 'Echo']}, 15: {'investors': ['Soundtrap']}, 16: {'investors': ['Anchor', 'Soundtrap', 'Soundtrap'], 'funds': ['$14.99 ']}, 17: {}, 18: {'investors': ['Immuta', 'Daniel Wu', 'Extra Crunch']}, 19: {}, 0: {'date': '2019-05-14T16:22:48', 'title': 'Daily Crunch: Impossible Foods raises $300M | TechCrunch'}}
14/05/2019 16:22;techcrunch;{1: {'investors': ['Walmart', 'Tyson Foods', 'J.B. Hunt']}, 2: {'investors': ['Walmart’s']}, 3: {'investors': ['Tyson Foods', 'J.B. Hunt', 'Tyson Foods', 'Saeed Amidi', 'Plug and Play']}, 4: {'investors': ['the Walton Family Foundation', 'the Arkansas Economic Development Commission']}, 5: {'investors': ['Plug and Play', 'Plug', 'Nelson Peacock', 'the Northwest Arkansas Council']}, 6: {}, 7: {'investors': ['Greg Smith', 'Supply Chain', 'Plug']}, 8: {'investors': ['the Walton Family Foundation', 'Plug', 'Play']}, 9: {'investors': ['Northwest Arkansas', 'Karen Minkel', 'Home Region', 'the Walton Family Foundation']}, 0: {'date': '2019-05-14T16:20:52', 'title': 'Walmart, Tyson Foods and J.B. Hunt launch a logistics accelerator in Arkansas with Plug and Play | TechCrunch'}}
14/05/2019 16:08;techcrunch;
14/05/2019 16:02;techcrunch;{1: {'investors': ['OnePlus', 'Apple', 'Samsung', 'Google']}, 2: {}, 3: {'investors': ['Android', 'Google']}, 4: {}, 5: {'investors': ['TechCrunch OnePlus']}, 6: {}, 7: {'investors': ['Samsung Galaxy S10e'], 'funds': ['$669 ', '$749 ', '$399', '$549 ']}, 8: {}, 9: {'investors': ['Samsung', 'Galaxy']}, 10: {}, 11: {'investors': ['Oppo', 'Vivo', 'OnePlus', 'T-Mobile']}, 12: {}, 13: {}, 14: {'investors': ['IP']}, 15: {}, 16: {}, 17: {}, 18: {'investors': ['The Snapdragon 855', 'RAM']}, 19: {}, 20: {}, 21: {}, 0: {'date': '2019-05-14T16:00:56', 'title': 'OnePlus redefines premium with the 7 Pro | TechCrunch'}}
14/05/2019 16:01;techcrunch;{1: {'investors': ['OnePlus’']}, 2: {'funds': ['$99 b']}, 3: {}, 4: {}, 5: {'funds': ['$99']}, 0: {'date': '2019-05-14T16:00:23', 'title': 'OnePlus’ new $99 earbuds promise long battery, better sound | TechCrunch'}}
14/05/2019 16:01;techcrunch;{1: {'investors': ['Periscope Data']}, 2: {}, 3: {'investors': ['Sisense'], 'funds': ['$174 million', '$34 million']}, 4: {}, 5: {}, 6: {'investors': ['Periscope Data', 'Harry Glaser', 'Periscope Data', 'Amir Orad']}, 7: {'investors': ['Amir Orad', 'TechCrunch']}, 8: {'investors': ['Harry Glaser']}, 9: {'investors': ['Glaser']}, 10: {'investors': ['Harvard Business School']}, 11: {'investors': ['Orad']}, 12: {'investors': ['Orad', 'Glaser', 'ARR'], 'funds': ['$100 million']}, 13: {'investors': ['Glaser']}, 14: {}, 15: {}, 0: {'date': '2019-05-14T16:00:23', 'title': 'Sisense acquires Periscope Data to build integrated data science and analytics solution | TechCrunch'}}
14/05/2019 15:56;techcrunch;
14/05/2019 15:01;techcrunch;
14/05/2019 14:43;techcrunch;{1: {'investors': ['Match’s', 'AskMatch', 'Match Group', 'Tinder, Hinge, OkCupid, Plenty of Fish']}, 2: {}, 3: {}, 4: {}, 5: {'investors': ['Match', 'Match', 'Hesam Hosseini']}, 6: {'investors': ['Match']}, 7: {'investors': ['NYC', 'Tinder, Match']}, 8: {'investors': ['Match', 'Match Group', 'Hinge']}, 9: {'investors': ['Match']}, 10: {}, 11: {}, 0: {'date': '2019-05-14T14:42:17', 'title': 'Match now offers dating coaches who help its members with profiles, dating challenges | TechCrunch'}}
14/05/2019 14:38;techcrunch;{1: {'investors': ['Coinbase', 'USD Coin']}, 2: {'investors': ['USDC']}, 3: {'investors': ['USDC', 'USD', 'USD']}, 4: {'investors': ['USD']}, 5: {}, 6: {'investors': ['USDC']}, 7: {'series': ['public']}, 8: {'investors': ['USDC']}, 9: {}, 0: {'date': '2019-05-14T14:01:51', 'title': 'Coinbase expands USDC stablecoin support to 85 countries | TechCrunch'}}
14/05/2019 14:02;techcrunch;{1: {'funds': ['$8', '$3']}, 2: {'investors': ['Donald Trump', 'Kim Jong-un'], 'funds': ['$18']}, 3: {}, 4: {}, 5: {'investors': ['BTC', 'Alyse Killeen', 'Stillmark', 'BTC', 'BTC', 'BTC', 'BTC']}, 6: {'investors': ['Killeen', 'Robinhood', 'TD Ameritrade', 'BTC', 'eTrade']}, 7: {'investors': ['Killeen', 'the Lightning Network', 'Blockstream Satellite']}, 8: {'investors': ['Gemini', 'Winkelvoss', 'Facebook and Social Network']}, 9: {'investors': ['Gemini', 'Flexa']}, 10: {}, 11: {}, 12: {'investors': ['David Gerard']}, 13: {}, 14: {}, 15: {'investors': ['Willy Woo']}, 16: {}, 17: {}, 18: {}, 19: {}, 20: {'investors': ['Whale']}, 21: {}, 22: {'investors': ['Digital Currency Group', 'Travis Scher', 'the Digital Currency Group'], 'series': ['public']}, 23: {'investors': ['Scher', 'Bitcoin']}, 0: {'date': '2019-05-14T14:01:21', 'title': 'Bitcoin has surged above $8,000 and theories around why abound | TechCrunch'}}
14/05/2019 14:00;techcrunch;{1: {'investors': ['Google', 'Google']}, 2: {}, 3: {}, 4: {'investors': ['app']}, 5: {'investors': ['Rivet']}, 6: {'investors': ['Android', 'Rivet']}, 7: {'investors': ['Rivet']}, 8: {'investors': ['app']}, 9: {}, 10: {'investors': ['Rivet', 'Tech and Product', 'Ben Turtel']}, 11: {'investors': ['Turtel']}, 12: {'investors': ['Google', 'Rivet', 'Google']}, 13: {'investors': ['Bolo']}, 14: {'investors': ['Rivet', 'Google Play', 'the Apple App Store'], 'series': ['public']}, 15: {}, 0: {'date': '2019-05-14T13:59:12', 'title': 'Google’s latest app, Rivet, uses speech processing to help kids learn to read | TechCrunch'}}
14/05/2019 13:56;techcrunch;{1: {}, 2: {'funds': ['$2']}, 3: {}, 4: {'investors': ['WeChat', 'WhatsApp', 'HP']}, 0: {'date': '2019-05-14T13:53:33', 'title': 'HP’s new gaming laptop has more screens for more content | TechCrunch'}}
14/05/2019 13:31;techcrunch;
