date;user;edited_data
14/05/2019 08:01;techcrunch;{'series': 'public', 'investors': {'Renaud', 'NYSE', 'Ashoka'}, 'date_scraped': '2019-05-14T08:00:29', 'company_name': 'Aurélie'}
14/05/2019 08:01;techcrunch;
14/05/2019 05:45;techcrunch;{'series': 'ipo', 'investors': {'SoftBank Group', 'Vision Fund'}, 'date_scraped': '2019-05-14T05:43:59', 'company_name': 'Uber'}
14/05/2019 04:04;techcrunch;
14/05/2019 04:02;techcrunch;
14/05/2019 02:00;techcrunch;
14/05/2019 00:59;techcrunch;
14/05/2019 00:02;techcrunch;
12/05/2019 23:29;techcrunch;
12/05/2019 23:01;techcrunch;{'series': 'series o', 'investors': {'ConsenSys'}, 'date_scraped': '2019-05-12T23:00:57', 'company_name': 'Ethereal'}
12/05/2019 22:44;techcrunch;{'date_scraped': '2019-05-12T22:43:14', 'company_name': 'NOAA'}
12/05/2019 21:39;techcrunch;
12/05/2019 20:48;techcrunch;{'date_scraped': '2019-05-12T20:46:44', 'company_name': 'THC'}
12/05/2019 17:36;techcrunch;
12/05/2019 12:02;techcrunch;{'date_scraped': '2019-05-12T12:00:19', 'company_name': 'Google'}
12/05/2019 10:27;techcrunch;
12/05/2019 02:26;techcrunch;
10/05/2019 22:03;techcrunch;{'series': 'ipo', 'date_scraped': '2019-05-10T22:02:33', 'company_name': 'Uber'}
10/05/2019 22:00;techcrunch;{'date_scraped': '2019-05-05T20:09:54', 'company_name': 'Konexio'}
10/05/2019 21:43;techcrunch;{'date_scraped': '2019-05-10T21:42:26', 'company_name': 'Virgin Galactic'}
10/05/2019 20:53;techcrunch;{'series': 'public', 'investors': {'District Court', 'Vernon Unsworth'}, 'date_scraped': '2019-05-10T20:52:22', 'company_name': 'Musk'}
10/05/2019 20:31;techcrunch;
10/05/2019 20:15;techcrunch;{'series': 'public', 'investors': {'Uber', 'the New York Stock Exchange'}, 'date_scraped': '2019-05-10T20:14:46', 'company_name': 'Uber'}
10/05/2019 20:07;techcrunch;{'date_scraped': '2019-05-10T20:06:06', 'company_name': 'Tinder Lite'}
10/05/2019 19:02;techcrunch;{'date_scraped': '2019-05-10T18:06:06', 'company_name': 'Jeff Bezos'}
10/05/2019 18:54;techcrunch;{'series': 'public', 'investors': {'the New York Stock Exchange'}, 'date_scraped': '2019-05-10T18:52:39', 'company_name': 'Uber'}
10/05/2019 17:55;techcrunch;
10/05/2019 17:51;techcrunch;{'date_scraped': '2019-05-10T17:49:37', 'company_name': 'Bobbie'}
10/05/2019 17:25;techcrunch;{'series': 'public', 'raised_funds': '8100000000.0 $', 'investors': {'the New York Stock Exchange'}, 'date_scraped': '2019-05-10T17:23:47', 'company_name': 'Apple'}
10/05/2019 17:10;techcrunch;{'series': 'series o', 'date_scraped': '2019-05-10T16:05:55', 'company_name': 'HAI'}
10/05/2019 16:47;techcrunch;{'series': 'public', 'date_scraped': '2019-05-10T16:45:50', 'company_name': 'Uber'}
10/05/2019 16:09;techcrunch;{'date_scraped': '2019-05-10T16:07:32', 'company_name': 'fuboTV'}
10/05/2019 15:54;techcrunch;{'series': 'public', 'raised_funds': '8100000000.0 $', 'investors': {'the New York Stock Exchange'}, 'date_scraped': '2019-05-10T15:52:55', 'company_name': 'Uber'}
10/05/2019 15:19;techcrunch;{'series': 'public', 'investors': {'Matt Burns', 'Jeff Bezos', 'TechCrunch'}, 'date_scraped': '2019-05-10T15:17:36', 'company_name': 'Blue Origin'}
10/05/2019 15:09;techcrunch;{'date_scraped': '2019-05-10T15:07:54', 'company_name': 'Amazon'}
10/05/2019 14:34;techcrunch;
10/05/2019 14:19;techcrunch;{'series': 'public', 'investors': {'ICO', 'Steve Wood'}, 'date_scraped': '2019-05-10T14:18:06', 'company_name': 'HMRC'}
10/05/2019 14:07;techcrunch;{'series': 'public', 'investors': {'CCI'}, 'date_scraped': '2019-05-10T14:06:06', 'company_name': 'Google'}
10/05/2019 13:06;techcrunch;{'date_scraped': '2019-05-10T13:05:50', 'company_name': 'Cook'}
10/05/2019 12:45;techcrunch;{'series': 'public', 'date_scraped': '', 'company_name': 'Extra Crunch'}
